"unique_id","cl_conc","v_in","v_f"
"100_600_020_1",100,0.30719453,0.37827015
"100_600_021_1",100,0.31756517,0.40361014
"50_600_001_1",50,0.40946534,0.47383326
"50_600_002_1",50,0.40441531,0.49743864
"50_600_003_1",50,0.40358403,0.49558777
"50_600_004_1",50,0.37695956,0.46720243
"50_600_005_1",50,0.39968148,0.49187529
"50_600_006_1",50,0.39782837,0.49044526
"50_600_007_1",50,0.40212035,0.48863161
"50_600_008_1",50,0.40859222,0.49722084
"50_600_009_1",50,0.41131949,0.49934497
"50_600_010_1",50,0.42315665,0.51202792
"50_600_011_1",50,0.42247605,0.51525062
"50_600_012_1",50,0.4261823,0.52231735
"50_600_013_1",50,0.44684824,0.54420012
"50_600_014_1",50,0.45119783,0.54892498
"50_600_015_1",50,0.44766158,0.54516584
"50_600_016_1",50,0.45632738,0.55296904
"50_600_017_1",50,0.4589591,0.56409806
"50_600_018_1",50,0.5007742,0.601843
"50_600_019_1",50,0.51912624,0.61913115
"50_600_020_1",50,0.54990029,0.64951068
"25_600_001_1",25,0.62418586,0.85887438
"25_600_002_1",25,0.59100056,0.85856974
"25_600_003_1",25,0.58881056,0.84958386
"25_600_004_1",25,0.58981013,0.85849142
"25_600_005_1",25,0.57435566,0.84401065
"25_600_006_1",25,0.52878445,0.85972899
"25_600_007_1",25,0.54053414,0.86573482
"25_600_008_1",25,0.53115511,0.86272717
"25_600_009_1",25,0.58061755,0.85215998
"25_600_010_1",25,0.60463679,0.86238682
"25_600_011_1",25,0.5985449,0.85078007
"25_600_012_1",25,0.60345674,0.86413461
"25_600_013_1",25,0.59660339,0.86330456
"25_600_014_1",25,0.60595983,0.86068529
"25_600_015_1",25,0.60318601,0.86357284
"25_600_016_1",25,0.59969538,0.86453748
"25_600_017_1",25,0.54141933,0.8617267
"25_600_018_1",25,0.5483796,0.86502045
"25_600_019_1",25,0.55579072,0.86617243
"25_600_020_1",25,0.56270468,0.87000138
